sample_id,study,condition,strain description,strain,culture type,evolved sample,base media,temperature (c),pH,carbon source (g/L),nitrogen source (g/L),electron acceptor,trace element mixture,supplement,antibiotic for selection,growth rate (1/hr),isolate type,additional details,biological replicates,doi,run_date,n_replicates
efeU__delmenFentC_citr__1,Pseudogene Repair,delmenFentC_citr,Escherichia coli K-12 MG1655 del_menF del_entC,MG1655,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,FeCl3 (20 uM) + Na-citrate (10 mM),,,,,2,doi.org/10.1038/s41564-018-0340-2,5/21/2018,2
efeU__delmenFentC_citr__2,Pseudogene Repair,delmenFentC_citr,Escherichia coli K-12 MG1655 del_menF del_entC,MG1655,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,FeCl3 (20 uM) + Na-citrate (10 mM),,,,,2,doi.org/10.1038/s41564-018-0340-2,5/21/2018,2
efeU__delmenFentC__1,Pseudogene Repair,delmenFentC,Escherichia coli K-12 MG1655 del_menF del_entC,MG1655,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,,,2,doi.org/10.1038/s41564-018-0340-2,5/21/2018,2
efeU__delmenFentC__2,Pseudogene Repair,delmenFentC,Escherichia coli K-12 MG1655 del_menF del_entC,MG1655,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,,,2,doi.org/10.1038/s41564-018-0340-2,5/21/2018,2
efeU__menFentC_ale39__1,Pseudogene Repair,menFentC_ale39,Escherichia coli EEP_menF_entC.39.91.1,MG1655,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,0.98,Clonal,,2,doi.org/10.1038/s41564-018-0340-2,5/21/2018,2
efeU__menFentC_ale39__2,Pseudogene Repair,menFentC_ale39,Escherichia coli EEP_menF_entC.39.91.1,MG1655,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,0.98,Clonal,,2,doi.org/10.1038/s41564-018-0340-2,5/21/2018,2
efeU__menFentC_ale29__1,Pseudogene Repair,menFentC_ale29,Escherichia coli EEP_menF_entC.29.82.1,MG1655,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,FeCl3 (20 uM) + Na-citrate (10 mM),,0.9,Clonal,,2,doi.org/10.1038/s41564-018-0340-2,5/21/2018,2
efeU__menFentC_ale29__2,Pseudogene Repair,menFentC_ale29,Escherichia coli EEP_menF_entC.29.82.1,MG1655,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,FeCl3 (20 uM) + Na-citrate (10 mM),,0.9,Clonal,,2,doi.org/10.1038/s41564-018-0340-2,5/21/2018,2
efeU__menFentC_ale30__1,Pseudogene Repair,menFentC_ale30,Escherichia coli EEP_menF_entC.30.83.1,MG1655,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,FeCl3 (20 uM) + Na-citrate (10 mM),,0.95,Clonal,,2,doi.org/10.1038/s41564-018-0340-2,5/21/2018,2
efeU__menFentC_ale30__2,Pseudogene Repair,menFentC_ale30,Escherichia coli EEP_menF_entC.30.83.1,MG1655,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,FeCl3 (20 uM) + Na-citrate (10 mM),,0.95,Clonal,,2,doi.org/10.1038/s41564-018-0340-2,5/21/2018,2
efeU__menFentCubiC_ale36__1,Pseudogene Repair,menFentCubiC_ale36,Escherichia coli EEP_menF_entC_ubiC.36.86.1,MG1655,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,0.58,Clonal,Also used in quinone study,2,doi.org/10.1038/s41564-018-0340-2,5/21/2018,2
efeU__menFentCubiC_ale36__2,Pseudogene Repair,menFentCubiC_ale36,Escherichia coli EEP_menF_entC_ubiC.36.86.1,MG1655,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,0.58,Clonal,Also used in quinone study,2,doi.org/10.1038/s41564-018-0340-2,5/21/2018,2
efeU__menFentCubiC_ale37__1,Pseudogene Repair,menFentCubiC_ale37,Escherichia coli EEP_menF_entC_ubiC.37.25.1,MG1655,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,0.46,Clonal,Also used in quinone study,2,doi.org/10.1038/s41564-018-0340-2,5/21/2018,2
efeU__menFentCubiC_ale37__2,Pseudogene Repair,menFentCubiC_ale37,Escherichia coli EEP_menF_entC_ubiC.37.25.1,MG1655,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,0.46,Clonal,Also used in quinone study,2,doi.org/10.1038/s41564-018-0340-2,5/21/2018,2
efeU__menFentCubiC_ale38__1,Pseudogene Repair,menFentCubiC_ale38,Escherichia coli EEP_menF_entC_ubiC.38.28.1,MG1655,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,0.58,Clonal,Also used in quinone study,2,doi.org/10.1038/s41564-018-0340-2,5/21/2018,2
efeU__menFentCubiC_ale38__2,Pseudogene Repair,menFentCubiC_ale38,Escherichia coli EEP_menF_entC_ubiC.38.28.1,MG1655,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,0.58,Clonal,Also used in quinone study,2,doi.org/10.1038/s41564-018-0340-2,5/21/2018,2
misc2__salc_glc__1,Miscellaneous #2,salc_glc,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,sauer trace element mixture,salicylate,,0.22,,,2,,10/17/2018,2
misc2__salc_glc__2,Miscellaneous #2,salc_glc,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,sauer trace element mixture,salicylate,,0.22,,,2,,10/17/2018,2
misc2__dbcn_glc__1,Miscellaneous #2,dbcn_glc,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,sauer trace element mixture,dibucaine,,0.32,,,2,,10/17/2018,2
misc2__dbcn_glc__2,Miscellaneous #2,dbcn_glc,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,sauer trace element mixture,dibucaine,,0.32,,,2,,10/17/2018,2
misc2__tyr_glc__1,Miscellaneous #2,tyr_glc,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,sauer trace element mixture,tyrosine (5mM),,0.77,,,2,,10/17/2018,2
misc2__tyr_glc__2,Miscellaneous #2,tyr_glc,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,sauer trace element mixture,tyrosine (5mM),,0.77,,,2,,10/17/2018,2
misc2__arg_cytd__1,Miscellaneous #2,arg_cytd,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,sauer trace element mixture,cytidine (1mM) + arginine (5mM),,0.67,,,2,,10/17/2018,2
misc2__arg_cytd__2,Miscellaneous #2,arg_cytd,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,sauer trace element mixture,cytidine (1mM) + arginine (5mM),,0.67,,,2,,10/17/2018,2
misc2__delyheO_pyr__1,Miscellaneous #2,delyheO_pyr,Escherichia coli K-12 MG1655 del_yheO,MG1655,Batch,No,M9,37,7,pyruvate(3.3),NH4Cl(1),O2,sauer trace element mixture,,,0.302,,,2,,10/17/2018,2
misc2__delyheO_pyr__2,Miscellaneous #2,delyheO_pyr,Escherichia coli K-12 MG1655 del_yheO,MG1655,Batch,No,M9,37,7,pyruvate(3.3),NH4Cl(1),O2,sauer trace element mixture,,,0.302,,,2,,10/17/2018,2
misc2__dellon_glc__1,Miscellaneous #2,dellon_glc,Escherichia coli K-12 MG1655 del_lon,MG1655,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,,,2,,5/19/2020,2
misc2__dellon_glc__2,Miscellaneous #2,dellon_glc,Escherichia coli K-12 MG1655 del_lon,MG1655,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,,,2,,5/19/2020,2
nquinone__delubiC__1,Naphthoquinone,delubiC,Escherichia coli K-12 MG1655 del_ubiC,MG1655,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,2,doi.org/10.1073/pnas.1909987116,5/21/2018,2
nquinone__delubiC__2,Naphthoquinone,delubiC,Escherichia coli K-12 MG1655 del_ubiC,MG1655,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,2,doi.org/10.1073/pnas.1909987116,5/21/2018,2
nquinone__ubiC_ale1__1,Naphthoquinone,ubiC_ale1,Escherichia coli EEP_ubiC.1.52.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,2,doi.org/10.1073/pnas.1909987116,5/21/2018,2
nquinone__ubiC_ale1__2,Naphthoquinone,ubiC_ale1,Escherichia coli EEP_ubiC.1.52.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,2,doi.org/10.1073/pnas.1909987116,5/21/2018,2
nquinone__ubiC_ale2__1,Naphthoquinone,ubiC_ale2,Escherichia coli EEP_ubiC.2.54.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,2,doi.org/10.1073/pnas.1909987116,5/21/2018,2
nquinone__ubiC_ale2__2,Naphthoquinone,ubiC_ale2,Escherichia coli EEP_ubiC.2.54.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,2,doi.org/10.1073/pnas.1909987116,5/21/2018,2
nquinone__ubiC_ale3__1,Naphthoquinone,ubiC_ale3,Escherichia coli EEP_ubiC.3.53.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,2,,5/21/2018,2
nquinone__ubiC_ale3__2,Naphthoquinone,ubiC_ale3,Escherichia coli EEP_ubiC.3.53.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,2,,5/21/2018,2
nquinone__ubiC_ale4__1,Naphthoquinone,ubiC_ale4,Escherichia coli EEP_ubiC.4.52.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,2,doi.org/10.1073/pnas.1909987116,5/21/2018,2
nquinone__ubiC_ale4__2,Naphthoquinone,ubiC_ale4,Escherichia coli EEP_ubiC.4.52.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,2,doi.org/10.1073/pnas.1909987116,5/21/2018,2
nquinone__delpdhR__1,Naphthoquinone,delpdhR,Escherichia coli del_pdhR,MG1655,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,0.7,,,2,doi.org/10.1073/pnas.1909987116,8/7/2018,2
nquinone__delpdhR__2,Naphthoquinone,delpdhR,Escherichia coli del_pdhR,MG1655,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,0.7,,,2,doi.org/10.1073/pnas.1909987116,8/7/2018,2
quinone__glu_ale4__1,Respiratory quinone,glu_ale4,Escherichia coli GLU.4.403.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,2,,5/21/2018,2
quinone__glu_ale4__2,Respiratory quinone,glu_ale4,Escherichia coli GLU.4.403.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,2,,5/21/2018,2
quinone__delmenF__1,Respiratory quinone,delmenF,Escherichia coli K-12 MG1655 del_menF,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,2,,5/21/2018,2
quinone__delmenF__2,Respiratory quinone,delmenF,Escherichia coli K-12 MG1655 del_menF,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,2,,5/21/2018,2
quinone__menF_ale5__1,Respiratory quinone,menF_ale5,Escherichia coli EEP_menF.5.42.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,2,,5/21/2018,2
quinone__menF_ale5__2,Respiratory quinone,menF_ale5,Escherichia coli EEP_menF.5.42.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,2,,5/21/2018,2
quinone__menF_ale6__1,Respiratory quinone,menF_ale6,Escherichia coli EEP_menF.6.42.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,2,,5/21/2018,2
quinone__menF_ale6__2,Respiratory quinone,menF_ale6,Escherichia coli EEP_menF.6.42.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,2,,5/21/2018,2
quinone__menF_ale7__1,Respiratory quinone,menF_ale7,Escherichia coli EEP_menF.7.43.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,2,,5/21/2018,2
quinone__menF_ale7__2,Respiratory quinone,menF_ale7,Escherichia coli EEP_menF.7.43.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,2,,5/21/2018,2
quinone__menF_ale8__1,Respiratory quinone,menF_ale8,Escherichia coli EEP_menF.8.45.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,2,,5/21/2018,2
quinone__menF_ale8__2,Respiratory quinone,menF_ale8,Escherichia coli EEP_menF.8.45.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,2,,5/21/2018,2
quinone__delmenFubiC__1,Respiratory quinone,delmenFubiC,Escherichia coli K-12 MG1655 del_menFubiC,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,2,,5/21/2018,2
quinone__delmenFubiC__2,Respiratory quinone,delmenFubiC,Escherichia coli K-12 MG1655 del_menFubiC,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,2,,5/21/2018,2
quinone__menFubiC_ale1__1,Respiratory quinone,menFubiC_ale1,Escherichia coli EEP_menFubiC.1.51.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,2,,5/21/2018,2
quinone__menFubiC_ale1__2,Respiratory quinone,menFubiC_ale1,Escherichia coli EEP_menFubiC.1.51.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,2,,5/21/2018,2
quinone__menFubiC_ale2__1,Respiratory quinone,menFubiC_ale2,Escherichia coli EEP_menFubiC.2.57.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,2,,5/21/2018,2
quinone__menFubiC_ale2__2,Respiratory quinone,menFubiC_ale2,Escherichia coli EEP_menFubiC.2.57.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,2,,5/21/2018,2
quinone__menFubiC_ale3__1,Respiratory quinone,menFubiC_ale3,Escherichia coli EEP_menFubiC.3.54.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,2,,5/21/2018,2
quinone__menFubiC_ale3__2,Respiratory quinone,menFubiC_ale3,Escherichia coli EEP_menFubiC.3.54.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,2,,5/21/2018,2
quinone__menFubiC_ale4__1,Respiratory quinone,menFubiC_ale4,Escherichia coli EEP_menFubiC.4.55.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,2,,5/21/2018,2
quinone__menFubiC_ale4__2,Respiratory quinone,menFubiC_ale4,Escherichia coli EEP_menFubiC.4.55.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,2,,5/21/2018,2
oxyR__wt_glc__1,OxyR ALE,wt_glc,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,,,2,doi.org/10.1093/molbev/msz251,3/8/2019,2
oxyR__wt_glc__2,OxyR ALE,wt_glc,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,,,2,doi.org/10.1093/molbev/msz251,3/8/2019,2
oxyR__wt_h2o2__1,OxyR ALE,wt_h2o2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,,H2O2(2mM),,,,,2,doi.org/10.1093/molbev/msz251,3/8/2019,2
oxyR__wt_h2o2__2,OxyR ALE,wt_h2o2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,,H2O2(2mM),,,,,2,doi.org/10.1093/molbev/msz251,3/8/2019,2
oxyR__glu_ale4__1,OxyR ALE,glu_ale4,GMOS,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,2,doi.org/10.1093/molbev/msz251,3/8/2019,2
oxyR__glu_ale4__2,OxyR ALE,glu_ale4,GMOS,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,2,doi.org/10.1093/molbev/msz251,3/8/2019,2
oxyR__glu_ale4_h2o2__1,OxyR ALE,glu_ale4_h2o2,GMOS,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,H2O2(2mM),,,Clonal,,2,doi.org/10.1093/molbev/msz251,3/8/2019,2
oxyR__glu_ale4_h2o2__2,OxyR ALE,glu_ale4_h2o2,GMOS,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,H2O2(2mM),,,Clonal,,2,doi.org/10.1093/molbev/msz251,3/8/2019,2
oxyR__oxyR_ale17__1,OxyR ALE,oxyR_ale17,Escherichia coli OxyR.17.45,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,2,doi.org/10.1093/molbev/msz251,3/8/2019,2
oxyR__oxyR_ale17__2,OxyR ALE,oxyR_ale17,Escherichia coli OxyR.17.45,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,2,doi.org/10.1093/molbev/msz251,3/8/2019,2
oxyR__oxyR_ale17_h2o2__1,OxyR ALE,oxyR_ale17_h2o2,Escherichia coli OxyR.17.45,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,H2O2(2mM),,,Clonal,,2,doi.org/10.1093/molbev/msz251,3/8/2019,2
oxyR__oxyR_ale17_h2o2__2,OxyR ALE,oxyR_ale17_h2o2,Escherichia coli OxyR.17.45,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,H2O2(2mM),,,Clonal,,2,doi.org/10.1093/molbev/msz251,3/8/2019,2
oxyR__oxyR_ale18__1,OxyR ALE,oxyR_ale18,Escherichia coli OxyR.18.39,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,2,doi.org/10.1093/molbev/msz251,3/8/2019,2
oxyR__oxyR_ale18__2,OxyR ALE,oxyR_ale18,Escherichia coli OxyR.18.39,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,2,doi.org/10.1093/molbev/msz251,3/8/2019,2
oxyR__oxyR_ale18_h2o2__1,OxyR ALE,oxyR_ale18_h2o2,Escherichia coli OxyR.18.39,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,H2O2(2mM),,,Clonal,,2,doi.org/10.1093/molbev/msz251,3/8/2019,2
oxyR__oxyR_ale18_h2o2__2,OxyR ALE,oxyR_ale18_h2o2,Escherichia coli OxyR.18.39,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,H2O2(2mM),,,Clonal,,2,doi.org/10.1093/molbev/msz251,3/8/2019,2
oxyR__oxyR_ale19__1,OxyR ALE,oxyR_ale19,Escherichia coli OxyR.19.39,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,2,doi.org/10.1093/molbev/msz251,3/8/2019,2
oxyR__oxyR_ale19__2,OxyR ALE,oxyR_ale19,Escherichia coli OxyR.19.39,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,2,doi.org/10.1093/molbev/msz251,3/8/2019,2
oxyR__oxyR_ale19_h2o2__1,OxyR ALE,oxyR_ale19_h2o2,Escherichia coli OxyR.19.39,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,H2O2(2mM),,,Clonal,,2,doi.org/10.1093/molbev/msz251,3/8/2019,2
oxyR__oxyR_ale19_h2o2__2,OxyR ALE,oxyR_ale19_h2o2,Escherichia coli OxyR.19.39,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,H2O2(2mM),,,Clonal,,2,doi.org/10.1093/molbev/msz251,3/8/2019,2
oxyR__oxyR_ale20__1,OxyR ALE,oxyR_ale20,Escherichia coli OxyR.20.40,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,2,doi.org/10.1093/molbev/msz251,3/8/2019,2
oxyR__oxyR_ale20__2,OxyR ALE,oxyR_ale20,Escherichia coli OxyR.20.40,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,2,doi.org/10.1093/molbev/msz251,3/8/2019,2
oxyR__oxyR_ale20_h2o2__1,OxyR ALE,oxyR_ale20_h2o2,Escherichia coli OxyR.20.40,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,H2O2(2mM),,,Clonal,,2,doi.org/10.1093/molbev/msz251,3/8/2019,2
oxyR__oxyR_ale20_h2o2__2,OxyR ALE,oxyR_ale20_h2o2,Escherichia coli OxyR.20.40,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,H2O2(2mM),,,Clonal,,2,doi.org/10.1093/molbev/msz251,3/8/2019,2
svns_pgi__BmePgi24_15__1,SvNS PGI,BmePgi24_15,Escherichia coli BmePgi 24.15,MG1655,Batch,Midpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,2,,4/5/2019,2
svns_pgi__BmePgi24_15__2,SvNS PGI,BmePgi24_15,Escherichia coli BmePgi 24.15,MG1655,Batch,Midpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,2,,4/5/2019,2
svns_pgi__BmePgi24_26__1,SvNS PGI,BmePgi24_26,Escherichia coli BmePgi 24.26,MG1655,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,2,,4/5/2019,2
svns_pgi__BmePgi24_26__2,SvNS PGI,BmePgi24_26,Escherichia coli BmePgi 24.26,MG1655,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,2,,4/5/2019,2
svns_pgi__BmePgi24_41__1,SvNS PGI,BmePgi24_41,Escherichia coli BmePgi 24.41,MG1655,Batch,Midpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,2,,4/5/2019,2
svns_pgi__BmePgi24_41__2,SvNS PGI,BmePgi24_41,Escherichia coli BmePgi 24.41,MG1655,Batch,Midpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,2,,4/5/2019,2
svns_pgi__BmePgi24_52__1,SvNS PGI,BmePgi24_52,Escherichia coli BmePgi 24.52,MG1655,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,2,,4/5/2019,2
svns_pgi__BmePgi24_52__2,SvNS PGI,BmePgi24_52,Escherichia coli BmePgi 24.52,MG1655,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,2,,4/5/2019,2
svns_pgi__PaePgi2_34__1,SvNS PGI,PaePgi2_34,Escherichia coli PaePgi 2.34,MG1655,Batch,Midpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,2,,5/9/2019,2
svns_pgi__PaePgi2_34__2,SvNS PGI,PaePgi2_34,Escherichia coli PaePgi 2.34,MG1655,Batch,Midpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,2,,5/9/2019,2
svns_pgi__PaePgi2_63__1,SvNS PGI,PaePgi2_63,Escherichia coli PaePgi 2.63,MG1655,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,2,,5/9/2019,2
svns_pgi__PaePgi2_63__2,SvNS PGI,PaePgi2_63,Escherichia coli PaePgi 2.63,MG1655,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,2,,5/9/2019,2
svns_pgi__PaePgi24_54__1,SvNS PGI,PaePgi24_54,Escherichia coli PaePgi 24.54,MG1655,Batch,Midpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,2,,5/9/2019,2
svns_pgi__PaePgi24_54__2,SvNS PGI,PaePgi24_54,Escherichia coli PaePgi 24.54,MG1655,Batch,Midpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,2,,5/9/2019,2
svns_pgi__PaePgi24_90__1,SvNS PGI,PaePgi24_90,Escherichia coli PaePgi 24.90,MG1655,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,2,,5/9/2019,2
svns_pgi__PaePgi24_90__2,SvNS PGI,PaePgi24_90,Escherichia coli PaePgi 24.90,MG1655,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,2,,5/9/2019,2
abx_media__m9_ctrl__1,AntibiotICA,m9_ctrl,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,,,2,doi.org/10.1128/mSphere.00443-21,7/3/2019,2
abx_media__m9_ctrl__2,AntibiotICA,m9_ctrl,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,,,2,doi.org/10.1128/mSphere.00443-21,7/3/2019,2
